"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4A_Inflow"
"07/28/2026 22:12:53:499 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [risk-score] of turtles"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","238","3.9705882352941178"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","246","3.9227642276422765"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","256","4.0546875"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","262","3.7748091603053435"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","245","4.118367346938776"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","244","4.102459016393443"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","254","4.066929133858268"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","245","4.004081632653061"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","244","4.081967213114754"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","252","4.071428571428571"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","242","4.028925619834711"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","237","3.9915611814345993"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","249","4.068273092369478"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","241","4.037344398340249"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","260","3.923076923076923"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","243","4.0699588477366255"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","244","4.057377049180328"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","243","4.082304526748971"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","236","4.067796610169491"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","244","4.061475409836065"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","240","4.033333333333333"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","234","4.085470085470085"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","244","4.061475409836065"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","249","4.068273092369478"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","260","3.9307692307692306"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","260","3.9423076923076925"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","240","4.033333333333333"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","247","4.068825910931174"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","243","4.082304526748971"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","246","4.069105691056911"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","234","4.072649572649572"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","239","4.03347280334728"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","242","4.082644628099174"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","242","4.045454545454546"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","234","4.072649572649572"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","241","4.08298755186722"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","260","3.9384615384615387"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","245","4.069387755102041"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","234","4.081196581196581"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","239","4.03347280334728"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","241","4.049792531120332"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","245","4.069387755102041"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","238","4.033613445378151"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","245","4.069387755102041"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","259","3.9382239382239383"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","237","4.033755274261603"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","240","4.05"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","258","3.937984496124031"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","239","4.083682008368201"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","244","4.069672131147541"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","243","4.0699588477366255"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","233","4.081545064377682"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","238","4.084033613445378"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","242","4.070247933884297"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","237","4.084388185654008"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","237","4.033755274261603"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","232","4.081896551724138"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","236","4.033898305084746"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","232","4.081896551724138"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","236","4.033898305084746"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","240","4.05"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","258","3.937984496124031"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","254","3.8622047244094486"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","240","4.05"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","258","3.937984496124031"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","236","4.080508474576271"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","232","4.081896551724138"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","253","4.075098814229249"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","255","3.9450980392156865"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","233","4.07725321888412"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","251","3.7768924302788847"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","231","4.082251082251083"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","233","4.07725321888412"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","253","4.075098814229249"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","251","4"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","9","240","4.05"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","231","4.082251082251083"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","250","3.984"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","252","4.071428571428571"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","240","4.05"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","249","4.068273092369478"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","10","254","3.9448818897637796"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","240","4.05"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","16","249","3.9839357429718874"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","248","4.064516129032258"
"5","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","240","4.05"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","17","249","3.9799196787148596"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","11","253","3.9446640316205532"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","18","248","3.9798387096774195"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","245","3.8612244897959185"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","13","252","3.7261904761904763"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","245","4.073469387755102"
"4","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","12","253","3.9446640316205532"
"2","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","245","4.077551020408163"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","14","251","4.091633466135458"
"3","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","248","3.9798387096774195"
"6","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","19","248","4.068548387096774"
"1","0","0.0025","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","15","250","4.084"
