"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4B_Outmigration"
"07/28/2026 22:20:41:780 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [count link-neighbors] of turtles","mean [risk-score] of turtles"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","231","11.783549783549784","3.6796536796536796"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","240","11.85","4.066666666666666"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","244","11.926229508196721","3.7868852459016393"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","253","11.802371541501977","3.9367588932806323"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","238","11.789915966386555","4.088235294117647"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","0","238","11.907563025210084","4.07563025210084"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","230","11.956521739130435","3.9"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","229","11.88646288209607","3.8951965065502185"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","240","12.016666666666667","4.008333333333334"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","228","11.833333333333334","3.9078947368421053"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","239","11.9581589958159","3.99163179916318"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","237","11.9915611814346","3.9873417721518987"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","253","11.992094861660078","3.9130434782608696"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","239","11.9581589958159","4.01255230125523"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","237","12.016877637130802","4.113924050632911"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","237","11.9915611814346","3.970464135021097"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","1","243","12.123456790123457","3.9753086419753085"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","252","11.944444444444445","3.9206349206349205"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","237","11.9915611814346","3.978902953586498"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","252","11.944444444444445","3.9166666666666665"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","242","12.057851239669422","4.012396694214876"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","2","237","12.016877637130802","4.0886075949367084"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","237","12.067510548523206","4.012658227848101"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","241","11.991701244813278","4.016597510373444"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","236","12.016949152542374","4.012711864406779"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","251","12.0398406374502","3.9163346613545817"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","235","11.957446808510639","4.012765957446809"
"4","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","3","237","12.016877637130802","4.075949367088608"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","237","12.160337552742616","3.978902953586498"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","250","11.992","3.916"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","228","12.008771929824562","3.9078947368421053"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","236","12.152542372881356","3.9788135593220337"
"3","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","250","11.992","3.916"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","228","12.008771929824562","3.9078947368421053"
"6","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","236","12.152542372881356","3.9788135593220337"
"5","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","6","228","12.008771929824562","3.9078947368421053"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","4","241","12.232365145228215","4.012448132780083"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","7","235","12.127659574468085","4.012765957446809"
"1","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","8","234","12.068376068376068","4.012820512820513"
"2","10","0.001","0.29","3","0.5","0.05","1","80","5","8","0","0.5","10","5","241","12.232365145228215","4.012448132780083"
