"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"CVD_Risk_Behaviour.nlogox"
"Experiment_4C_Growth_Homophily"
"07/28/2026 22:23:22:464 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","annual_inflow","monthly-outmigration-prob","influence_weight_friend","gamma_net","relapse_friend_threshold","p_relapse","gamma_behavior","N_h","t_lag_years","theta_tol","omega_age","influence_weight_household","F_max","[step]","count turtles","mean [risk-score] of turtles"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","0","227","4.039647577092511"
"4","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","0","236","4"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","0","226","3.9690265486725664"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","0","248","4.092741935483871"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","0","256","4.02734375"
"5","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","0","255","4.180392156862745"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","1","225","4.0488888888888885"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","1","227","4.048458149779735"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","1","256","4.05078125"
"6","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","1","246","4.097560975609756"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","2","225","4.053333333333334"
"1","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","2","227","4.039647577092511"
"2","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","2","255","4.086274509803921"
"3","10","0.0025","0.29","3","0.5","0.05","1","80","5","2","0","0.5","10","3","224","4.026785714285714"
