"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"gamma_sweep"
"07/24/2026 01:56:28:138 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","gamma_behavior","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"4","4","0","3.9530516431924885","0","213","0","9.23943661971831"
"5","0.5","0","4.035242290748899","0","227","0","9.083700440528634"
"6","1","0","4.236286919831223","0","237","0","9.10548523206751"
"2","1","0","4.0886075949367084","0","237","0","9.08860759493671"
"3","2","0","3.9385245901639343","0","244","0","9.131147540983607"
"1","0.5","0","3.991596638655462","0","238","0","9.260504201680673"
"4","4","1","4.042253521126761","0","213","28","9.502347417840376"
"5","0.5","1","4.097345132743363","0","226","25","9.256637168141593"
"6","1","1","4.008474576271187","0","236","27","9.288135593220339"
"2","1","1","4.084388185654008","0","237","33","9.367088607594937"
"3","2","1","3.9959016393442623","0","244","28","9.360655737704919"
"5","0.5","2","4.093333333333334","0","225","25","9.20888888888889"
"6","1","2","3.9617021276595743","0","235","27","9.242553191489362"
"4","4","2","4.037735849056604","0","212","28","9.452830188679245"
"3","2","2","3.9959016393442623","0","244","28","9.360655737704919"
"5","0.5","3","4.075892857142857","1","224","25","9.178571428571429"
"1","0.5","1","4.029661016949152","0","236","26","9.389830508474576"
"3","2","3","3.9836065573770494","0","244","28","9.360655737704919"
"4","4","3","4.037735849056604","0","212","28","9.452830188679245"
"6","1","3","3.97008547008547","0","234","27","9.196581196581196"
"2","1","2","4.034188034188034","0","234","33","9.264957264957266"
"5","0.5","4","4.089686098654709","2","223","54","9.390134529147982"
"1","0.5","2","4.034188034188034","0","234","26","9.324786324786325"
"2","1","3","4.0344827586206895","1","232","33","9.172413793103448"
"5","0.5","5","4.0941704035874436","2","223","54","9.390134529147982"
"6","1","4","3.97008547008547","0","234","47","9.367521367521368"
"3","2","4","3.9836065573770494","0","244","46","9.508196721311476"
"5","0.5","6","4.0941704035874436","2","223","54","9.390134529147982"
"1","0.5","3","4.03862660944206","0","233","26","9.278969957081545"
"4","4","4","4.037735849056604","0","212","46","9.622641509433961"
"6","1","5","3.9699570815450644","0","233","47","9.330472103004292"
"3","2","5","3.987704918032787","0","244","46","9.508196721311476"
"4","4","5","4.023584905660377","0","212","46","9.622641509433961"
"6","1","6","3.9699570815450644","0","233","47","9.330472103004292"
"4","4","6","4.023809523809524","0","210","46","9.523809523809524"
"3","2","6","3.987704918032787","0","244","46","9.508196721311476"
"5","0.5","7","4.0941704035874436","2","223","68","9.515695067264573"
"2","1","4","4.0344827586206895","1","232","67","9.46551724137931"
"5","0.5","8","4.094594594594595","2","222","68","9.468468468468469"
"5","0.5","9","4.094594594594595","2","222","68","9.468468468468469"
"2","1","5","4.0344827586206895","1","232","67","9.46551724137931"
"6","1","7","3.9698275862068964","0","232","62","9.413793103448276"
"3","2","7","3.9917355371900825","1","242","59","9.52892561983471"
"1","0.5","4","4.038793103448276","0","232","57","9.5"
"6","1","8","3.9698275862068964","0","232","62","9.413793103448276"
"3","2","8","3.991701244813278","1","241","59","9.485477178423237"
"4","4","7","4.023809523809524","0","210","57","9.628571428571428"
"6","1","9","3.9696969696969697","0","231","62","9.367965367965368"
"3","2","9","3.987551867219917","1","241","59","9.485477178423237"
"4","4","8","4.024038461538462","0","208","57","9.528846153846153"
"5","0.5","10","4.094594594594595","2","222","82","9.594594594594595"
"2","1","6","4.0344827586206895","1","232","67","9.46551724137931"
"1","0.5","5","4.030434782608696","1","230","57","9.460869565217392"
