"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wf_sweep"
"07/24/2026 02:00:29:408 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_friend","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"1","0.25","0","4.170940170940171","0","234","0","9.2991452991453"
"6","0.25","0","4.004329004329004","0","231","0","9.090909090909092"
"2","0.25","0","3.9628099173553717","0","242","0","9.223140495867769"
"4","0.25","0","3.9696969696969697","0","231","0","9.229437229437229"
"3","0.25","0","4.016","0","250","0","9.112"
"5","0.25","0","4.086792452830188","0","265","0","9.222641509433963"
"1","0.25","1","4.153846153846154","0","234","21","9.478632478632479"
"6","0.25","1","4.065217391304348","0","230","23","9.243478260869566"
"1","0.25","2","4.072649572649572","0","234","21","9.478632478632479"
"6","0.25","2","4.082608695652174","0","230","23","9.243478260869566"
"4","0.25","1","3.9220779220779223","0","231","25","9.445887445887445"
"1","0.25","3","4.068376068376068","0","234","21","9.478632478632479"
"2","0.25","1","4.1","0","240","17","9.275"
"6","0.25","3","4.08296943231441","0","229","23","9.196506550218341"
"3","0.25","1","4.028112449799197","0","249","30","9.325301204819278"
"4","0.25","2","3.8956521739130436","1","230","25","9.4"
"3","0.25","2","4.008032128514056","0","249","30","9.325301204819278"
"2","0.25","2","4.0625","0","240","17","9.275"
"5","0.25","1","4.052830188679246","0","265","30","9.449056603773585"
"4","0.25","3","3.9","1","230","25","9.4"
"1","0.25","4","4.0606060606060606","0","231","31","9.428571428571429"
"2","0.25","3","4.0625","0","240","17","9.275"
"5","0.25","2","4.037878787878788","1","264","30","9.409090909090908"
"3","0.25","3","4.008064516129032","0","248","30","9.28225806451613"
"1","0.25","5","4.0562770562770565","0","231","31","9.428571428571429"
"6","0.25","4","4.078602620087336","0","229","43","9.37117903930131"
"5","0.25","3","4.03030303030303","1","264","30","9.409090909090908"
"1","0.25","6","4.0562770562770565","0","231","31","9.428571428571429"
"6","0.25","5","4.074561403508772","0","228","43","9.333333333333334"
"4","0.25","4","3.9","1","230","41","9.539130434782608"
"6","0.25","6","4.070796460176991","0","226","43","9.238938053097344"
"2","0.25","4","4.0625","0","240","41","9.475"
"4","0.25","5","3.8995633187772927","2","229","41","9.493449781659388"
"2","0.25","5","4.0625","0","240","41","9.475"
"1","0.25","7","4.0562770562770565","0","231","47","9.567099567099566"
"2","0.25","6","4.063025210084033","0","238","41","9.394957983193278"
"3","0.25","4","4.008097165991903","0","247","56","9.481781376518219"
"4","0.25","6","3.8991228070175437","2","228","41","9.482456140350877"
"5","0.25","4","4.034351145038168","1","262","47","9.458015267175572"
"1","0.25","8","4.0562770562770565","0","231","47","9.567099567099566"
"3","0.25","5","4.004081632653061","0","245","56","9.395918367346939"
"1","0.25","9","4.056521739130435","0","230","47","9.521739130434783"
