"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"CVD_Risk_Behaviour_1.nlogox"
"wh_sweep"
"07/24/2026 01:58:07:708 +0530"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","influence_weight_household","[step]","report-mean-risk","death-count","count people","rewiring-events","report-mean-friends"
"2","0","0","3.99581589958159","0","239","0","9.263598326359833"
"3","0","0","3.9066666666666667","0","225","0","9.137777777777778"
"4","0","0","4.024489795918368","0","245","0","9.151020408163266"
"1","0","0","3.8558951965065504","0","229","0","9.187772925764191"
"6","0","0","3.9957805907172994","0","237","0","9.130801687763713"
"5","0","0","4.067796610169491","0","236","0","9.254237288135593"
"3","0","1","3.9955555555555557","0","225","20","9.315555555555555"
"2","0","1","4.004201680672269","0","238","29","9.504201680672269"
"3","0","2","4","0","224","20","9.267857142857142"
"4","0","1","3.9958847736625516","0","243","30","9.308641975308642"
"2","0","2","4","0","237","29","9.459915611814345"
"3","0","3","4","0","223","20","9.219730941704036"
"4","0","2","4","0","242","30","9.28099173553719"
"2","0","3","4","0","237","29","9.459915611814345"
"1","0","1","4.0174672489082965","0","229","24","9.397379912663755"
"1","0","2","4","0","229","24","9.397379912663755"
"4","0","3","4","0","242","30","9.28099173553719"
"6","0","1","4.025316455696203","0","237","25","9.341772151898734"
"5","0","1","4.021367521367521","0","234","22","9.350427350427351"
"1","0","3","4","0","229","24","9.397379912663755"
"6","0","2","4","0","235","25","9.27659574468085"
"3","0","4","4","0","223","44","9.434977578475337"
"2","0","4","4","0","237","42","9.569620253164556"
"5","0","2","4","0","234","22","9.350427350427351"
"3","0","5","4","1","221","44","9.357466063348417"
"2","0","5","4","0","237","42","9.569620253164556"
"3","0","6","4","2","218","44","9.220183486238533"
"2","0","6","4","0","236","42","9.525423728813559"
"5","0","3","4","0","233","22","9.313304721030043"
"6","0","3","4","0","235","25","9.27659574468085"
"4","0","4","4","0","242","58","9.512396694214877"
"4","0","5","4","0","240","58","9.433333333333334"
"4","0","6","4","1","239","58","9.389121338912133"
"2","0","7","4","0","235","58","9.617021276595745"
"3","0","7","4","2","218","71","9.46788990825688"
"3","0","8","4","2","218","71","9.46788990825688"
"1","0","4","4","0","229","40","9.537117903930131"
"2","0","8","4","0","235","58","9.617021276595745"
"4","0","7","4","1","239","84","9.606694560669457"
"6","0","4","4","0","234","53","9.47008547008547"
"3","0","9","4","2","217","71","9.419354838709678"
"1","0","5","4","0","229","40","9.537117903930131"
"5","0","4","4","0","233","44","9.50214592274678"
"2","0","9","4","0","234","58","9.572649572649572"
"4","0","8","4","1","238","84","9.588235294117647"
"1","0","6","4","0","229","40","9.537117903930131"
"6","0","5","4","0","233","53","9.42489270386266"
"5","0","5","4","0","233","44","9.50214592274678"
"5","0","6","4","1","232","44","9.456896551724139"
"4","0","9","4","1","237","84","9.544303797468354"
"6","0","6","4","0","233","53","9.42489270386266"
"2","0","10","4","0","233","69","9.622317596566523"
"3","0","10","4","2","216","90","9.546296296296296"
"2","0","11","4","0","233","69","9.622317596566523"
"1","0","7","4","0","229","47","9.59825327510917"
"3","0","11","4","2","216","90","9.546296296296296"
"4","0","10","4","1","235","96","9.565957446808511"
"2","0","12","4","0","231","69","9.532467532467532"
"1","0","8","4","0","228","47","9.552631578947368"
"3","0","12","4","3","214","90","9.457943925233645"
"6","0","7","4","0","233","72","9.587982832618026"
"4","0","11","4","1","234","96","9.521367521367521"
"5","0","7","4","1","232","62","9.612068965517242"
"1","0","9","4","0","227","47","9.506607929515418"
"4","0","12","4","1","234","96","9.521367521367521"
"6","0","8","4","0","232","72","9.543103448275861"
"5","0","8","4","1","232","62","9.612068965517242"
"6","0","9","4","0","232","72","9.543103448275861"
"5","0","9","4","1","231","62","9.567099567099566"
"1","0","10","4","0","227","61","9.629955947136564"
"2","0","13","3.6363636363636362","0","253","76","9.193675889328063"
"2","0","14","4.011904761904762","1","252","76","9.15079365079365"
"3","0","13","3.705627705627706","3","231","104","9.281385281385282"
